s,Killed,Wounded,,,,,Mariupol Maternity Hospital ,,Mariupol bomb shelter under mariupol Theater ,,,,,,Kharkiv
4/2/2022,"1,417","2,038",,,,,over 5000,,,130 rescued,300 dead,,,,
4/1/2022,"1,325","2,017",,,,,,,,1300 trapped,,,,,
3/31/2022,"1,276","1,981",,,,,,,,,,,,,
3/30/2022,"1,232","1,935",,,,,,,,160000 still in Mariupol,,,,,
3/29/2022,"1,189","1,901",,,,,,,,,,,,,
3/28/2022,"1,179","1,860",,,,,,,,1700 evacuated to Russia,,,,,
3/27/2022,"1,151","1,824",,,,,,,,,,,,,
3/26/2022,"1,119","1,790",,,,,,,,"430,000.00",,,,,
3/25/2022,"1,104","1,754",,,,,,,,,,,,,
3/24/2022,"1,081","1,707",,,,,,,,,,,,,
3/23/2022,"1,035","1,650",,,,,,,,,,,,,
3/22/2022,977,"1,594",,,,,,,,,,,,,
3/21/2022,953,"1,557",,,,,,,,,,,,,
3/20/2022,925,"1,496",,,,,,,,,,,,,
3/19/2022,902,"1,459",,,,,,,,,,,,,
3/18/2022,847,"1,399",,,,,,,,,,,,,
3/17/2022,816,"1,333",,,,,,,,,,,,,
3/16/2022,780,"1,252",,,,,,,,,,,,,
3/15/2022,726,"1,174",,,,,,,,,,,,,
3/14/2022,691,"1,143",,,,,,,,,,,,,
3/13/2022,636,"1,125",,,,,,,,,,,,,
3/12/2022,596,"1,067",,,,,,,,,,,,,
3/11/2022,579,"1,002",,,,,,,,,,,,,
3/10/2022,564,982,,,,,,,,,,,,,
3/9/2022,549,957,,,,,,,,,,,,,
3/8/2022,516,908,,,,,,,,,,,,,
3/7/2022,474,861,,,,,,,,,,,,,
3/6/2022,406,801,,,,,,,,,,,,,
3/5/2022,364,759,,,,,,,,,,,,,
3/4/2022,351,707,,,,,,,,,,,,,
3/3/2022,331,675,,,,,,,,,,,,,
3/2/2022,249,553,,,,,,,,,,,,,
3/1/2022,227,525,,,,,,,,,,,,,
2/28/2022,142,408,,,,,,,,,,,,,
2/27/2022,102,304,,,,,,,,,,,,,
2/26/2022,64,176,,,,,,,,,,,,,
